Nom de la Station,Nom de la ligne,Niveau de pollution,pollution_num,stop_lat,stop_lon
Porte d'Auteuil,Métro 10,MOYENNE,2,48.84790412362924,2.258280744595537
Porte de Bagnolet,Métro 3,MOYENNE,2,48.86453937293447,2.4087542211895427
Porte de Champerret,Métro 3,MOYENNE,2,48.885652393133846,2.2921124821588448
Porte de Clichy,Métro 14,MOYENNE,2,48.89428867785142,2.313431869544054
Porte de Montreuil,Métro 9,MOYENNE,2,48.85348263120656,2.410718154027495
Porte de Vanves,Métro 13,FAIBLE,1,48.82761346400429,2.305332386657473
Porte de Versailles,Métro 12,FAIBLE,1,48.83230151439446,2.28813294509322
Porte Maillot,Métro 1,FAIBLE,1,48.87816265364455,2.2825838473615496
Pyramides,Métro 14,FAIBLE,1,48.86575552737676,2.3346236060049232
Rambuteau,Métro 11,MOYENNE,2,48.86119015695036,2.353273948594772
République,Métro 3,MOYENNE,2,48.86720306822776,2.364333297545428
Robespierre,Métro 9,MOYENNE,2,48.85567380855032,2.422973086496352
Rue de la Pompe,Métro 9,MOYENNE,2,48.863951708879945,2.2778858979590564
Rue du Bac,Métro 12,MOYENNE,2,48.85587553200213,2.3256727584985164
Saint-Denis - Porte de Paris,Métro 13,MOYENNE,2,48.92992275044576,2.3561729251016
Saint-Georges,Métro 12,FAIBLE,1,48.87841659490173,2.3375706403796697
Saint-Germain-des-Prés,Métro 4,FAIBLE,1,48.85367371343323,2.333987429134225
Saint-Michel,Métro 4,FAIBLE,1,48.85359407756809,2.343991799033288
Saint-Sulpice,Métro 4,FAIBLE,1,48.85113858957915,2.330953550650454
Sèvres - Babylone,Métro 10,MOYENNE,2,48.85093150598804,2.326104689925573
Stalingrad,Métro 5,MOYENNE,2,48.8841445128949,2.367348121277192
Sully - Morland,Métro 7,MOYENNE,2,48.85120791254347,2.3617517381263218
Trocadéro,Métro 9,ELEVE,3,48.863088061116,2.28683987979629
Vaneau,Métro 10,MOYENNE,2,48.84889457005888,2.321351242354736
Varenne,Métro 13,MOYENNE,2,48.85662420264694,2.3149776470363417
Aéroport d'Orly,Métro 14,FAIBLE,1,48.72791074498099,2.3621434233506027
Bir-Hakeim,Métro 6,MOYENNE,2,48.85392536837598,2.2894007376346
Corvisart,Métro 6,MOYENNE,2,48.82986001331238,2.350611225926166
Créteil - Préfecture,Métro 8,MOYENNE,2,48.77975652677895,2.459305169291261
L'Haÿ-les-Roses,Métro 14,FAIBLE,1,48.77532646395088,2.354991210566311
Pointe du Lac,Métro 8,MOYENNE,2,48.76876136434425,2.464317312722042
Romainville-Carnot,Métro 11,MOYENNE,2,48.88357423792701,2.440677444590172
Barbès - Rochechouart,Métro 2,MOYENNE,2,48.88385234986188,2.350573400888514
Bel-Air,Métro 6,MOYENNE,2,48.84142733223358,2.400867131995259
Cambronne,Métro 6,MOYENNE,2,48.84754311219352,2.302941728337612
Glacière,Métro 6,MOYENNE,2,48.83117023524584,2.3434974927179884
Jaurès,Métro 2,MOYENNE,2,48.88159683079925,2.370269867509251
La Dhuys,Métro 11,MOYENNE,2,48.8780111916913,2.465116181953647
La Motte-Picquet - Grenelle,Métro 6,MOYENNE,2,48.84876544812232,2.298957096977008
Rosny-Bois-Perrier,Métro 11,MOYENNE,2,48.88302567942574,2.480609800808591
Châtillon-Montrouge,Métro 13,FAIBLE,1,48.81075140670139,2.301717705004608
Dupleix,Métro 6,MOYENNE,2,48.8504116258067,2.293663726731039
Gare d'Austerlitz,Métro 5,MOYENNE,2,48.84229779662816,2.3656078807625422
Malakoff - Rue Etienne Dolet,Métro 13,FAIBLE,1,48.81533836595972,2.2971240100835835
Montreuil - Hôpital,Métro 11,MOYENNE,2,48.878269829247664,2.4546692358364623
Passy,Métro 6,MOYENNE,2,48.85751508962033,2.285839418881462
Coteaux Beauclair,Métro 11,MOYENNE,2,48.88212212689498,2.4673647804495924
Hôpital Bicêtre,Métro 14,MOYENNE,2,48.809971090725966,2.349946533239157
La Chapelle,Métro 2,MOYENNE,2,48.88447648340964,2.360430336162137
Quai de la Gare,Métro 6,MOYENNE,2,48.8370742706096,2.372766248948172
Saint-Denis - Pleyel,Métro 14,MOYENNE,2,48.91873375567987,2.345886129823062
Saint-Jacques,Métro 6,MOYENNE,2,48.832916006219165,2.337154370925007
Serge Gainsbourg,Métro 11,MOYENNE,2,48.88125303440166,2.427162168589524
Sèvres-Lecourbe,Métro 6,MOYENNE,2,48.84564768265073,2.309529610430393
Thiais - Orly (Pont de Rungis),Métro 14,FAIBLE,1,48.74683536938685,2.3723847511214924
Chevaleret,Métro 6,MOYENNE,2,48.83494516788824,2.3680951237726693
Chevilly-Larue (Marché International),Métro 14,FAIBLE,1,48.75848356146962,2.367374604185919
Créteil - L'Echat,Métro 8,MOYENNE,2,48.79661108096057,2.449424047013373
Créteil - Université,Métro 8,MOYENNE,2,48.78994285432577,2.4505697455342568
Maison Blanche,Métro 14,MOYENNE,2,48.82120786862075,2.3589182598590392
Nationale,Métro 6,MOYENNE,2,48.83318160406702,2.362857958087621
Quai de la Rapée,Métro 5,MOYENNE,2,48.84649085420337,2.365992890937552
Stalingrad,Métro 2,MOYENNE,2,48.88432054886986,2.365774370558169
