Identifiant station,Nom de la Station,Nom de la ligne,Niveau de pollution aux particules,Niveau de pollution,Incertitude,Recommandation de surveillance,Action(s) QAI en cours,stop_lon,stop_lat,air,niveau_pollution
IDFM:22378,Pont Marie (Cité des Arts),Métro 7,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.357349968447059,48.85341474936241,,pollution faible
IDFM:22242,Saint-Denis - Université,Métro 13,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.364494290510317,48.945911458883856,,pollution moyenne
IDFM:22116,Ménilmontant,Métro 2,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.38353966877949,48.866440166781686,,pollution moyenne
IDFM:463113,Blanche,Métro 2,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.3324843754343627,48.88376635447715,,pollution moyenne
IDFM:22237,Châtillon-Montrouge,Métro 13,station aérienne,station aérienne,,non,,2.301717705004608,48.81075140670139,,station aérienne
IDFM:463260,Porte de Vanves,Métro 13,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",oui,,2.305332386657473,48.82761346400429,,pollution faible
IDFM:21972,Javel - André Citroën,Métro 10,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.278009496527359,48.84618110622323,,pollution moyenne
IDFM:21951,Place des Fêtes,Métro 11,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",oui,,2.393139370360497,48.87672366197325,,pollution moyenne
IDFM:22115,Place de Clichy,Métro 2,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.32795832801022,48.88366908827266,,pollution moyenne
IDFM:463316,Temple,Métro 3,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.361589378332189,48.86668483219092,,pollution moyenne
IDFM:483277,Barbara,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3174992240284045,48.80979025430712,,pollution faible
IDFM:22150,Cité,Métro 4,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3472322349319112,48.85493384910671,,pollution moyenne
IDFM:463294,Reuilly - Diderot,Métro 1,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3858367760086865,48.84734982784612,,pollution faible
IDFM:462976,Carrefour Pleyel,Métro 13,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.343534674183465,48.91973260804976,,pollution faible
IDFM:22148,Gare de l'Est,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3577495818204395,48.87627821831841,,pollution faible
IDFM:463170,Esplanade de la Défense,Métro 1,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.249931086743073,48.88834989394862,,pollution moyenne
IDFM:463118,Alésia,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3271926250651647,48.82815215770352,,pollution faible
IDFM:463045,Olympiades,Métro 14,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.367034270941924,48.82694415504304,,pollution moyenne
IDFM:463019,Bastille,Métro 1,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.368692796099789,48.85196422011205,,pollution moyenne
IDFM:22143,Montparnasse Bienvenue,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3243294607791096,48.84385251452581,,pollution faible
IDFM:22041,Porte de la Chapelle,Métro 12,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.359248542310361,48.89740242267042,,pollution faible
IDFM:463094,Barbès - Rochechouart,Métro 2,station aérienne,station aérienne,,non,Action(s) d'amélioration de la qualité de l'air en cours,2.350573400888514,48.88385234986188,,station aérienne
IDFM:21961,Madeleine,Métro 14,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3258100487932776,48.87054467671624,,pollution moyenne
IDFM:463052,Alma - Marceau,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.30110435239267,48.86464714790582,,pollution moyenne
IDFM:22160,Saint-Jacques,Métro 6,station aérienne,station aérienne,,non,,2.337154370925007,48.832916006219165,,station aérienne
IDFM:463311,Solférino,Métro 12,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.323075964251541,48.85853194972854,,pollution moyenne
IDFM:463039,Buzenval,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.401170769368413,48.85176243983227,,pollution moyenne
IDFM:21928,Jasmin,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.268219083521012,48.85246214784456,,pollution moyenne
IDFM:463276,Porte de Bagnolet,Métro 3,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.4087542211895427,48.86453937293447,,pollution moyenne
IDFM:463034,Louis Blanc,Métro 7B,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.364365143550256,48.88118341152446,,pollution moyenne
IDFM:22172,Edgar Quinet,Métro 6,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3253749636089105,48.84098044632817,,pollution moyenne
IDFM:22092,Châtelet,Métro 4,pollution moyenne,MOYENNE,Évaluation : mesures permanentes,non,,2.3466414308440138,48.859661211559086,,pollution moyenne
IDFM:463005,Bir-Hakeim,Métro 6,station aérienne,station aérienne,,non,,2.2894007376346,48.85392536837598,,station aérienne
IDFM:22393,Fort d'Aubervilliers,Métro 7,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.404075377271855,48.91475665506255,,pollution moyenne
IDFM:463068,Malesherbes,Métro 3,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.309487846960011,48.88284002257779,,pollution moyenne
IDFM:22176,Cambronne,Métro 6,station aérienne,station aérienne,,non,,2.302941728337612,48.84754311219352,,station aérienne
IDFM:462962,République,Métro 8,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.363149406900382,48.86742161002706,,pollution moyenne
IDFM:463085,Plaisance,Métro 13,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.313860489344306,48.83175036306747,,pollution moyenne
IDFM:462980,Montparnasse Bienvenue,Métro 12,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.32392211008296,48.84374228942691,,pollution moyenne
IDFM:483314,Bagneux - Lucie Aubrac,Métro 4,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.317458362049886,48.80354822259104,,pollution faible
IDFM:463112,Bibliothèque François Mitterrand,Métro 14,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.376487371168301,48.829925765928905,,pollution faible
IDFM:22072,Nation,Métro 2,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.395798835112525,48.84845279707999,,pollution moyenne
IDFM:22051,Notre-Dame des Champs,Métro 12,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.328564944227944,48.84508150807547,,pollution faible
IDFM:22232,Les Agnettes,Métro 13,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.286263202479002,48.92308777796361,,pollution faible
IDFM:463174,Gallieni,Métro 3,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",oui,,2.415921484287642,48.86539746068654,,pollution faible
IDFM:463218,Louvre - Rivoli,Métro 1,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.3409964272720227,48.86090733426327,,pollution faible
IDFM:463065,Jules Joffrin,Métro 12,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",oui,,2.3443200293804827,48.892492268201934,,pollution faible
IDFM:21942,Robespierre,Métro 9,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.422973086496352,48.85567380855032,,pollution moyenne
IDFM:22016,Eglise de Pantin,Métro 5,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.413119553706935,48.893163974098265,,pollution moyenne
IDFM:463077,Jussieu,Métro 10,pollution faible,FAIBLE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.354944184375758,48.8462878950311,,pollution faible
IDFM:462969,Saint-Lazare,Métro 12,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,,2.327470237303278,48.875594817796994,,pollution moyenne
IDFM:463017,Hoche,Métro 5,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.403114154894396,48.8914957494373,,pollution moyenne
IDFM:463280,Porte de Pantin,Métro 5,pollution moyenne,MOYENNE,"Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant",non,Action(s) d'amélioration de la qualité de l'air en cours,2.3921229723281483,48.88845921134684,,pollution moyenne
