Station A,Station B,Ligne
Bonne Nouvelle,Commerce,Métro 8
Commerce,Daumesnil,Métro 8
Daumesnil,Montgallet,Métro 8
Saint-Ambroise,Saint-Augustin,Métro 9
Saint-Augustin,Trocadéro,Métro 9
Trocadéro,Nation,Métro 9
Nation,Strasbourg - Saint-Denis,Métro 9
Strasbourg - Saint-Denis,Richelieu - Drouot,Métro 9
Richelieu - Drouot,Oberkampf,Métro 9
Oberkampf,Iéna,Métro 9
Iéna,Jasmin,Métro 9
Jasmin,Franklin D. Roosevelt,Métro 9
Franklin D. Roosevelt,Charonne,Métro 9
Charonne,Mairie de Montreuil,Métro 9
Mairie de Montreuil,Robespierre,Métro 9
Robespierre,Croix de Chavaux,Métro 9
Croix de Chavaux,Rue des Boulets,Métro 9
Rue des Boulets,Marcel Sembat,Métro 9
Marcel Sembat,Saint-Philippe-du-Roule,Métro 9
Saint-Philippe-du-Roule,Exelmans,Métro 9
Exelmans,Miromesnil,Métro 9
Miromesnil,Billancourt,Métro 9
Billancourt,Grands Boulevards,Métro 9
Grands Boulevards,Bonne Nouvelle,Métro 9
Bonne Nouvelle,Chaussée d'Antin - La Fayette,Métro 9
Chaussée d'Antin - La Fayette,Maraîchers,Métro 9
Maraîchers,Michel-Ange - Auteuil,Métro 9
Michel-Ange - Auteuil,Porte de Saint-Cloud,Métro 9
Porte de Saint-Cloud,Porte de Montreuil,Métro 9
Porte de Montreuil,Ranelagh,Métro 9
Ranelagh,Voltaire,Métro 9
Michel-Ange - Auteuil,Duroc,Métro 10
Duroc,Javel - André Citroën,Métro 10
Javel - André Citroën,Mabillon,Métro 10
Mabillon,Maubert - Mutualité,Métro 10
Maubert - Mutualité,Sèvres - Babylone,Métro 10
Sèvres - Babylone,Odéon,Métro 10
Odéon,Mirabeau,Métro 10
Mirabeau,Charles Michels,Métro 10
Charles Michels,Cluny - La Sorbonne,Métro 10
Cluny - La Sorbonne,Jussieu,Métro 10
Jussieu,Boulogne Pont de Saint-Cloud,Métro 10
Boulogne Pont de Saint-Cloud,Cardinal Lemoine,Métro 10
Cardinal Lemoine,La Motte-Picquet - Grenelle,Métro 10
La Motte-Picquet - Grenelle,Porte d'Auteuil,Métro 10
Porte d'Auteuil,Ségur,Métro 10
Place des Fêtes,Châtelet,Métro 11
Châtelet,Pyrénées,Métro 11
Pyrénées,Rambuteau,Métro 11
Rambuteau,Télégraphe,Métro 11
Télégraphe,Goncourt,Métro 11
Goncourt,Arts et Métiers,Métro 11
Arts et Métiers,Mairie des Lilas,Métro 11
Mairie des Lilas,Belleville,Métro 11
Belleville,Serge Gainsbourg,Métro 11
Serge Gainsbourg,Romainville-Carnot,Métro 11
Romainville-Carnot,Montreuil - Hôpital,Métro 11
Montreuil - Hôpital,La Dhuys,Métro 11
La Dhuys,Rosny-Bois-Perrier,Métro 11
Pigalle,Porte de la Chapelle,Métro 12
Porte de la Chapelle,Porte de Versailles,Métro 12
Porte de Versailles,Saint-Georges,Métro 12
Saint-Georges,Volontaires,Métro 12
Volontaires,Notre-Dame des Champs,Métro 12
Notre-Dame des Champs,Falguière,Métro 12
Falguière,Concorde,Métro 12
Concorde,Corentin Celton,Métro 12
Corentin Celton,Convention,Métro 12
Convention,Rennes,Métro 12
Rennes,Saint-Lazare,Métro 12
Saint-Lazare,Marcadet - Poissonniers,Métro 12
Marcadet - Poissonniers,Montparnasse Bienvenue,Métro 12
Montparnasse Bienvenue,Notre-Dame-de-Lorette,Métro 12
Notre-Dame-de-Lorette,Jules Joffrin,Métro 12
Jules Joffrin,Front Populaire,Métro 12
Front Populaire,Abbesses,Métro 12
Abbesses,Lamarck - Caulaincourt,Métro 12
Lamarck - Caulaincourt,Mairie d'Issy,Métro 12
Mairie d'Issy,Marx Dormoy,Métro 12
Marx Dormoy,Vaugirard,Métro 12
Vaugirard,Aimé Césaire,Métro 12
Place de Clichy,Invalides,Métro 13
Invalides,Saint-François-Xavier,Métro 13
Saint-François-Xavier,Saint-Lazare,Métro 13
Saint-Lazare,Porte de Saint-Ouen,Métro 13
Porte de Saint-Ouen,Miromesnil,Métro 13
Miromesnil,Liège,Métro 13
Liège,La Fourche,Métro 13
La Fourche,Les Agnettes,Métro 13
Les Agnettes,Asnières - Gennevilliers Les Courtilles,Métro 13
Asnières - Gennevilliers Les Courtilles,Malakoff - Plateau de Vanves,Métro 13
Malakoff - Plateau de Vanves,Mairie de Clichy,Métro 13
Mairie de Clichy,Basilique de Saint-Denis,Métro 13
Basilique de Saint-Denis,Saint-Denis - Université,Métro 13
Saint-Denis - Université,Garibaldi,Métro 13
Garibaldi,Guy Môquet,Métro 13
Guy Môquet,Gabriel Péri,Métro 13
Gabriel Péri,Carrefour Pleyel,Métro 13
Carrefour Pleyel,Duroc,Métro 13
Duroc,Plaisance,Métro 13
Plaisance,Gaîté,Métro 13
Gaîté,Pernety,Métro 13
Pernety,Porte de Vanves,Métro 13
Porte de Vanves,Porte de Clichy,Métro 13
Porte de Clichy,Varenne,Métro 13
Madeleine,Saint-Lazare,Métro 14
Saint-Lazare,Bibliothèque François Mitterrand,Métro 14
Bibliothèque François Mitterrand,Cour Saint-Emilion,Métro 14
Cour Saint-Emilion,Pont Cardinet,Métro 14
Pont Cardinet,Mairie de Saint-Ouen,Métro 14
Mairie de Saint-Ouen,Porte de Clichy,Métro 14
Porte de Clichy,Thiais - Orly (Pont de Rungis),Métro 14
Thiais - Orly (Pont de Rungis),Maison Blanche,Métro 14
