station1,station2,trajet_existe
Cadet,Pierre et Marie Curie,True
Maison Blanche,Pierre et Marie Curie,True
Maison Blanche,Stalingrad,True
Le Peletier,Stalingrad,True
Le Peletier,Villejuif Paul Vaillant-Couturier,True
Censier - Daubenton,Villejuif Paul Vaillant-Couturier,True
Censier - Daubenton,Pyramides,True
Aubervilliers-Pantin Quatre Chemins,Pyramides,True
Aubervilliers-Pantin Quatre Chemins,Tolbiac,True
Fort d'Aubervilliers,Tolbiac,True
Corentin Cariou,Fort d'Aubervilliers,True
Corentin Cariou,Opéra,True
Opéra,Place d'Italie,True
Place d'Italie,Pont Neuf,True
Place Monge,Pont Neuf,True
Place Monge,Porte de Choisy,True
Porte d'Ivry,Porte de Choisy,True
Mairie d'Ivry,Porte d'Ivry,True
Le Kremlin-Bicêtre,Mairie d'Ivry,True
Le Kremlin-Bicêtre,Riquet,True
Jussieu,Riquet,True
Buttes Chaumont,Louis Blanc,True
Bolivar,Louis Blanc,True
Bolivar,Jaurès,True
Danube,Jaurès,True
Danube,Place des Fêtes,True
Concorde,Ledru-Rollin,True
Concorde,Strasbourg - Saint-Denis,True
Boucicaut,Strasbourg - Saint-Denis,True
Boucicaut,Commerce,True
Commerce,République,True
Porte Dorée,République,True
Ecole Vétérinaire de Maisons-Alfort,Porte Dorée,True
Ecole Vétérinaire de Maisons-Alfort,Invalides,True
Invalides,Madeleine,True
Charenton - Ecoles,Madeleine,True
Charenton - Ecoles,Reuilly - Diderot,True
Maisons-Alfort - Les Juilliottes,Reuilly - Diderot,True
Daumesnil,Maisons-Alfort - Les Juilliottes,True
Daumesnil,Richelieu - Drouot,True
Faidherbe - Chaligny,Richelieu - Drouot,True
Bonne Nouvelle,Faidherbe - Chaligny,True
Balard,Bonne Nouvelle,True
Balard,Félix Faure,True
Félix Faure,Porte de Charenton,True
Opéra,Porte de Charenton,True
Maisons-Alfort - Stade,Opéra,True
Maisons-Alfort - Stade,Montgallet,True
Saint-Ambroise,Saint-Philippe-du-Roule,True
Richelieu - Drouot,Saint-Philippe-du-Roule,True
Mairie de Montreuil,Richelieu - Drouot,True
Mairie de Montreuil,Robespierre,True
Oberkampf,Robespierre,True
Oberkampf,Strasbourg - Saint-Denis,True
Grands Boulevards,Strasbourg - Saint-Denis,True
Grands Boulevards,Ranelagh,True
Franklin D. Roosevelt,Ranelagh,True
Franklin D. Roosevelt,Marcel Sembat,True
Marcel Sembat,Michel-Ange - Auteuil,True
Michel-Ange - Auteuil,Rue des Boulets,True
Miromesnil,Rue des Boulets,True
Miromesnil,Voltaire,True
Jasmin,Voltaire,True
Jasmin,Nation,True
Nation,Porte de Saint-Cloud,True
Exelmans,Porte de Saint-Cloud,True
Exelmans,Iéna,True
Charonne,Iéna,True
Billancourt,Charonne,True
Billancourt,Porte de Montreuil,True
Porte de Montreuil,Saint-Augustin,True
Croix de Chavaux,Saint-Augustin,True
Chaussée d'Antin - La Fayette,Croix de Chavaux,True
Chaussée d'Antin - La Fayette,Trocadéro,True
Bonne Nouvelle,Trocadéro,True
Bonne Nouvelle,Maraîchers,True
