station1,station2,connected
Dupleix,Edgar Quinet,True
Palais Royal - Musée du Louvre,Pyramides,True
Malesherbes,Europe,True
Bonne Nouvelle,Alma - Marceau,True
Mairie de Montrouge,Marcadet - Poissonniers,True
Chemin Vert,Commerce,True
Riquet,Sully - Morland,True
Madeleine,Invalides,True
Mairie de Saint-Ouen,Malakoff - Rue Etienne Dolet,True
Gallieni,Réaumur - Sébastopol,True
Avenue Emile Zola,Jussieu,True
Les Sablons,Gare de Lyon,True
Corentin Celton,Pasteur,True
Olympiades,Saint-Lazare,True
Gare du Nord,Porte de Pantin,True
République,Jaurès,True
Maraîchers,Pont de Sèvres,True
Saint-Georges,Rue du Bac,True
Montparnasse Bienvenue,Place d'Italie,True
Barbès - Rochechouart,Châtelet,True
Ternes,Victor Hugo,True
Saint-Ambroise,Rue de la Pompe,True
Chevaleret,Daumesnil,True
Laumière,Eglise de Pantin,True
Rue Saint-Maur,Villiers,True
Rosny-Bois-Perrier,La Dhuys,True
Bréguet-Sabin,Place d'Italie,True
Pasteur,Nationale,True
Boulogne Jean Jaurès,Boulogne Pont de Saint-Cloud,True
Jourdain,Télégraphe,True
Falguière,Notre-Dame des Champs,True
Couronnes,Belleville,True
Villejuif Paul Vaillant-Couturier,Gare de l'Est,True
Michel-Ange - Molitor,Michel-Ange - Auteuil,True
Père Lachaise,Parmentier,True
Plaisance,Gaîté,True
Grands Boulevards,Alma - Marceau,True
Pereire,Gallieni,True
Créteil - Préfecture,Balard,True
Ecole Vétérinaire de Maisons-Alfort,Charenton - Ecoles,True
L'Haÿ-les-Roses,Thiais - Orly (Pont de Rungis),True
Raspail,Sèvres-Lecourbe,True
Maisons-Alfort - Les Juilliottes,République,True
Place de Clichy,Pigalle,True
Montparnasse Bienvenue,Strasbourg - Saint-Denis,True
Argentine,Bérault,True
Trinité - d'Estienne d'Orves,Vaugirard,True
Romainville-Carnot,Montreuil - Hôpital,True
Saint-Lazare,Marcadet - Poissonniers,True
Les Sablons,Louvre - Rivoli,True
Charles de Gaulle - Etoile,Bastille,True
Convention,Rennes,True
Thiais - Orly (Pont de Rungis),L'Haÿ-les-Roses,True
Aéroport d'Orly,Chevilly-Larue (Marché International),True
Strasbourg - Saint-Denis,Montparnasse Bienvenue,True
Jaurès,Ménilmontant,True
République,Billancourt,True
Porte de Saint-Ouen,Miromesnil,True
Le Peletier,Les Gobelins,True
Victor Hugo,Ternes,True
Marcel Sembat,Rue des Boulets,True
La Chapelle,Belleville,True
Bérault,Château de Vincennes,True
Sèvres - Babylone,Odéon,True
Bastille,Concorde,True
Opéra,Richelieu - Drouot,True
Serge Gainsbourg,Porte des Lilas,True
République,Saint-Lazare,True
Porte d'Orléans,Alésia,True
Jaurès,République,True
Ségur,Porte d'Auteuil,True
