station                                , cluster, pollution, lat               , lon
Arts et Métiers                        ,       0,       1.0, 48.86553459885931 , 2.3567233472754983
Arts et Métiers                        ,       0,       2.0, 48.86529961264491 , 2.3565081436435467
Avron                                  ,       0,       2.0, 48.85164854359716 , 2.3981875566593973
Barbès - Rochechouart                  ,       0,       1.0, 48.88340206048623 , 2.349629927853002
Barbès - Rochechouart                  ,       0,       2.0, 48.88385234986188 , 2.350573400888514
Boissière                              ,       1,       2.0, 48.8668483434173  , 2.2900328376074373
Botzaris                               ,       0,       2.0, 48.879534991268365, 2.388900951315739
Boucicaut                              ,       1,       1.0, 48.841024160993214, 2.2879184311245595
Boulogne Jean Jaurès                   ,       1,       2.0, 48.841991575324506, 2.239077780728926
Bourse                                 ,       0,       2.0, 48.86879284393317 , 2.340678546975881
Brochant                               ,       0,       1.0, 48.89062201554889 , 2.3201902468999456
Cardinal Lemoine                       ,       0,       2.0, 48.84670003526311 , 2.3513280016731763
Carrefour Pleyel                       ,       0,       1.0, 48.91973260804976 , 2.343534674183465
Censier - Daubenton                    ,       0,       2.0, 48.84022624851393 , 2.351626572605499
Charles de Gaulle - Etoile             ,       1,       2.0, 48.87383861478572 , 2.294995735441831
Charles de Gaulle - Etoile             ,       1,       1.0, 48.87392926445533 , 2.2951172138230334
Charles de Gaulle - Etoile             ,       1,       2.0, 48.87494579313413 , 2.295927507409278
Charles Michels                        ,       1,       2.0, 48.84636172348247 , 2.2856243417995747
Château de Vincennes                   ,       0,       1.0, 48.84431751431355 , 2.440540095406114
Château Rouge                          ,       0,       1.0, 48.88724193064896 , 2.34958196802566
Châtelet                               ,       0,       2.0, 48.85922471342816 , 2.3457609541847755
Châtelet                               ,       0,       2.0, 48.85955653272677 , 2.346411849769497
Châtelet                               ,       0,       2.0, 48.85695346078533 , 2.3481609912345776
Châtelet                               ,       0,       2.0, 48.859661211559086, 2.3466414308440138
Châtelet                               ,       0,       2.0, 48.85776111354502 , 2.3478374055687867
Chaussée d'Antin - La Fayette          ,       0,       2.0, 48.87313420577469 , 2.333738594408701
Chaussée d'Antin - La Fayette          ,       0,       2.0, 48.87280723715393 , 2.333970457594147
Concorde                               ,       1,       2.0, 48.86652125193945 , 2.3220315426557194
Concorde                               ,       1,       2.0, 48.86615003482594 , 2.323181449571859
Concorde                               ,       1,       1.0, 48.86655799294972 , 2.3229614457982586
Courcelles                             ,       1,       2.0, 48.87926525411311 , 2.303294362425212
Danube                                 ,       0,       2.0, 48.88194921492064 , 2.393228471227492
Ecole Militaire                        ,       1,       1.0, 48.85486175512232 , 2.3064410394306907
Ecole Vétérinaire de Maisons-Alfort    ,       2,       1.0, 48.814758684006726, 2.422322751702586
Eglise de Pantin                       ,       0,       2.0, 48.893163974098265, 2.413119553706935
Esplanade de la Défense                ,       1,       2.0, 48.88834989394862 , 2.249931086743073
Etienne Marcel                         ,       0,       1.0, 48.86370301202431 , 2.3489761968791085
Faidherbe - Chaligny                   ,       0,       1.0, 48.85020070550927 , 2.384072471688875
Falguière                              ,       1,       2.0, 48.844317683534335, 2.317551235617027
Gallieni                               ,       0,       1.0, 48.86539746068654 , 2.415921484287642
Gambetta                               ,       0,       2.0, 48.86497267606974 , 2.3973588775666475
Gambetta                               ,       0,       2.0, 48.865032564464   , 2.398537305704572
Gare d'Austerlitz                      ,       0,       2.0, 48.84228236697996 , 2.364395394600644
Gare d'Austerlitz                      ,       0,       2.0, 48.84229779662816 , 2.3656078807625422
Gare de l'Est                          ,       0,       1.0, 48.87627821831841 , 2.3577495818204395
Gare de l'Est                          ,       0,       2.0, 48.87627121454162 , 2.358120525273069
Gare de l'Est                          ,       0,       2.0, 48.87616299446643 , 2.35806459441865
George V                               ,       1,       1.0, 48.87203776458909 , 2.300759784978918
Goncourt                               ,       0,       2.0, 48.8700070178386  , 2.3707644347484003
Grands Boulevards                      ,       0,       2.0, 48.871558801223806, 2.3432202183423976
Grands Boulevards                      ,       0,       2.0, 48.87146677844407 , 2.342839648636545
Invalides                              ,       1,       1.0, 48.86109201138112 , 2.3146326604445164
Invalides                              ,       1,       1.0, 48.86053445554123 , 2.3146399951225347
Jasmin                                 ,       1,       2.0, 48.85246214784456 , 2.268219083521012
Jaurès                                 ,       0,          , 48.88302391342934 , 2.371438959985608
Jaurès                                 ,       0,       2.0, 48.88234423020823 , 2.370451734004561
Jaurès                                 ,       0,       2.0, 48.88159683079925 , 2.370269867509251
Javel - André Citroën                  ,       1,       2.0, 48.84618110622323 , 2.278009496527359
La Muette                              ,       1,       2.0, 48.85809196689865 , 2.2740962446697224
Lamarck - Caulaincourt                 ,       0,       1.0, 48.88968180996681 , 2.3385838243831936
Les Agnettes                           ,       0,       1.0, 48.92308777796361 , 2.286263202479002
Les Sablons                            ,       1,       2.0, 48.88129083793358 , 2.271904762259129
Liège                                  ,       0,       1.0, 48.87953493737576 , 2.3268526712397555
Madeleine                              ,       0,       2.0, 48.87054467671624 , 2.3258100487932776
Madeleine                              ,       0,       1.0, 48.87003294090397 , 2.325169929034193
Madeleine                              ,       0,       2.0, 48.86956561611772 , 2.3260272117729994
Mairie des Lilas                       ,       0,       2.0, 48.87974365006289 , 2.4162978208011863
Mairie d'Ivry                          ,       0,       2.0, 48.811210093393306, 2.383498053635828
Maisons-Alfort - Les Juilliottes       ,       2,       2.0, 48.80310585036659 , 2.4457883063759605
